Trajectory,Frame,X (pixel),Y (pixel)
2875.0,21.0,2046.718,993.202
2875.0,22.0,2037.999,990.233
2875.0,23.0,2027.926,988.816
2875.0,24.0,2017.898,988.606
2875.0,25.0,2006.77,989.788
2875.0,26.0,1994.5,991.991
2875.0,27.0,1980.636,993.997
2875.0,28.0,1966.304,994.52
2875.0,29.0,1952.083,993.991
2875.0,30.0,1938.317,994.144
2875.0,31.0,1923.384,996.303
2875.0,32.0,1905.616,999.697
2875.0,33.0,1882.5,1000.5
2875.0,34.0,1851.716,991.07
2875.0,35.0,1818.632,959.013
2875.0,36.0,1806.797,930.234
2875.0,37.0,1800.206,915.677
2875.0,38.0,1792.8629999999996,906.054
2875.0,39.0,1784.441,898.944
2875.0,40.0,1774.5,893.9910000000001
2875.0,41.0,1764.0,890.837
2875.0,42.0,1752.947,890.936
2875.0,43.0,1736.776,893.565
2875.0,44.0,1715.329,885.2489999999998
2875.0,45.0,1704.3829999999996,869.617
2875.0,46.0,1690.233,859.9989999999998
2875.0,47.0,1668.552,850.428
2875.0,48.0,1635.803,839.337
2875.0,49.0,1590.631,834.587
2875.0,50.0,1544.121,845.613
2875.0,52.0,1551.435,812.304
2875.0,53.0,1524.003,824.347
2875.0,54.0,1493.976,847.582
2875.0,55.0,1453.039,881.169
2875.0,57.0,1363.8,910.435
2875.0,58.0,1329.713,906.459
2875.0,59.0,1304.5,902.5
2875.0,60.0,1283.905,899.472
2875.0,61.0,1265.671,896.7689999999999
2875.0,62.0,1248.5,894.5
2875.0,63.0,1232.53,892.081
2875.0,64.0,1217.472,888.905
2875.0,65.0,1203.276,884.8689999999998
2875.0,66.0,1190.435,880.304
2875.0,67.0,1179.384,873.697
2875.0,68.0,1169.528,864.909
2875.0,69.0,1159.696,852.435
2875.0,70.0,1145.415,837.048
2875.0,71.0,1127.351,828.5
2875.0,72.0,1112.898,824.3939999999999
2875.0,73.0,1101.565,820.696
2875.0,74.0,1091.794,816.26
2875.0,75.0,1082.528,810.905
2875.0,76.0,1073.543,804.674
2875.0,77.0,1065.102,797.822
2875.0,78.0,1057.055,789.5930000000002
2875.0,79.0,1048.647,779.909
2875.0,80.0,1037.383,767.617
2875.0,81.0,1020.079,755.541
2875.0,82.0,995.418,747.327
2875.0,83.0,959.929,746.326
2875.0,84.0,921.386,757.7539999999998
2875.0,85.0,902.143,770.466
2875.0,86.0,892.304,778.565
2875.0,87.0,886.817,783.677
2875.0,88.0,884.081,787.53
2875.0,89.0,882.918,791.314
2875.0,90.0,883.372,795.372
2875.0,91.0,884.5,799.9910000000001
2875.0,92.0,886.055,805.863
2875.0,93.0,888.617,812.617
2875.0,94.0,890.056,820.441
2875.0,95.0,892.1210000000002,827.8789999999998
2875.0,96.0,893.448,835.428
2875.0,97.0,895.0,842.442
2875.0,98.0,896.2689999999999,849.664
2875.0,99.0,896.623,857.169
2875.0,100.0,896.7660000000002,864.7719999999998
2875.0,101.0,896.222,873.36
2875.0,102.0,894.2760000000002,882.437
2875.0,103.0,890.7610000000002,890.811
2875.0,104.0,886.925,898.158
2875.0,105.0,882.173,903.704
2875.0,106.0,877.441,907.056
2875.0,107.0,873.41,909.857
2875.0,108.0,870.203,912.234
2875.0,109.0,867.2230000000002,914.435
2875.0,110.0,864.617,916.617
2875.0,111.0,862.5,918.744
2875.0,112.0,860.8969999999998,921.275
2875.0,113.0,859.7869999999998,923.535
2875.0,114.0,859.128,926.186
2875.0,115.0,858.5,928.991
2875.0,116.0,858.5,931.991
2875.0,117.0,858.383,935.383
2875.0,118.0,858.5,939.175
2875.0,119.0,858.7439999999998,943.5
2875.0,120.0,859.304,947.565
2875.0,121.0,859.58,952.307
2875.0,122.0,859.92,957.5
2875.0,123.0,859.916,962.558
2875.0,124.0,859.92,968.5
2875.0,125.0,859.58,974.307
2875.0,126.0,859.528,980.095
2875.0,127.0,858.457,986.246
2875.0,128.0,857.5,992.175
2875.0,129.0,856.27,998.35
2875.0,130.0,854.696,1004.435
2875.0,131.0,853.355,1010.645
2875.0,132.0,851.457,1017.326
2875.0,133.0,849.2560000000002,1024.5
2875.0,134.0,846.128,1032.755
2875.0,135.0,842.112,1042.888
2875.0,136.0,836.2919999999998,1053.901
2875.0,137.0,829.3839999999999,1063.697
2875.0,138.0,823.086,1071.678
2875.0,139.0,816.5,1078.5
2875.0,140.0,808.5,1083.825
2875.0,141.0,799.5,1086.825
2875.0,142.0,789.92,1088.802
2875.0,143.0,781.2560000000002,1088.5
2875.0,144.0,774.637,1088.003
2875.0,145.0,769.617,1087.383
2875.0,146.0,765.472,1086.905
2875.0,147.0,761.8560000000001,1086.683
