Trajectory,Frame,X (pixel),Y (pixel)
2875.0,148.0,759.2560000000002,1086.5
2875.0,149.0,756.893,1087.042
2875.0,150.0,754.696,1087.435
2875.0,151.0,752.528,1088.095
2875.0,152.0,750.572,1088.552
2875.0,153.0,748.905,1089.472
2875.0,154.0,747.5219999999998,1090.373
2875.0,155.0,745.857,1091.41
2875.0,156.0,744.5,1092.5
2875.0,157.0,743.5,1093.5
2875.0,158.0,742.5,1094.991
2875.0,159.0,741.4860000000001,1096.165
2875.0,160.0,740.551,1097.652
2875.0,161.0,739.898,1099.451
2875.0,162.0,739.314,1101.101
2875.0,163.0,738.552,1103.141
2875.0,164.0,738.2760000000002,1104.869
2875.0,165.0,737.778,1106.585
2875.0,166.0,737.712,1108.891
2875.0,167.0,737.59,1111.143
2875.0,168.0,737.6489999999999,1113.5
2875.0,169.0,738.309,1116.015
2875.0,170.0,738.59,1118.857
2875.0,171.0,739.564,1121.948
2875.0,172.0,740.565,1125.304
2875.0,173.0,741.745,1128.806
2875.0,174.0,743.466,1132.857
2875.0,175.0,745.0,1137.5
2875.0,176.0,747.095,1142.528
2875.0,177.0,748.717,1148.734
2875.0,178.0,750.528,1155.905
2875.0,179.0,751.528,1164.095
2875.0,180.0,750.5,1173.825
2875.0,181.0,747.303,1185.384
2875.0,182.0,740.3839999999999,1196.697
2875.0,183.0,731.5,1208.991
2875.0,184.0,719.816,1220.258
2875.0,185.0,707.097,1231.645
2875.0,186.0,693.74,1242.4260000000004
2875.0,187.0,678.841,1253.818
2875.0,188.0,661.78,1264.987
2875.0,189.0,642.8919999999998,1273.581
2875.0,190.0,623.131,1280.414
2875.0,191.0,606.944,1284.559
2875.0,192.0,596.355,1293.272
2875.0,193.0,580.887,1309.203
2875.0,194.0,552.81,1319.358
2875.0,195.0,531.444,1313.3270000000002
2875.0,196.0,521.2330000000002,1310.026
2875.0,197.0,514.2230000000002,1311.565
2875.0,198.0,508.472,1317.095
2875.0,199.0,502.282,1327.753
2875.0,200.0,492.758,1344.178
2875.0,201.0,465.633,1367.624
2875.0,203.0,370.846,1358.515
2875.0,204.0,296.971,1378.898
2875.0,205.0,255.306,1389.642
2875.0,206.0,225.222,1383.36
2875.0,207.0,197.26,1366.805
2875.0,208.0,166.43099999999995,1346.549
2875.0,209.0,135.47899999999998,1329.521
2875.0,210.0,103.371,1319.4029999999998
2875.0,211.0,71.37100000000002,1314.455
2875.0,212.0,41.565,1312.696
2875.0,213.0,13.198,1310.92
2876.0,67.0,228.74400000000003,1375.44
2876.0,68.0,195.96,1357.61
2876.0,69.0,167.051,1338.598
2876.0,70.0,140.785,1324.461
2876.0,71.0,114.961,1315.105
2876.0,72.0,91.175,1309.167
2876.0,73.0,61.629,1303.733
2876.0,74.0,34.882,1303.474
2876.0,75.0,12.472,1299.889
2877.0,100.0,1396.562,930.034
2877.0,102.0,1301.661,940.473
2877.0,103.0,1272.317,942.179
2877.0,104.0,1245.888,942.888
2877.0,105.0,1222.428,944.448
2877.0,106.0,1200.991,946.5
2877.0,107.0,1182.339,950.23
2877.0,108.0,1165.383,955.383
2877.0,109.0,1149.776,961.565
2877.0,110.0,1135.053,968.839
2877.0,111.0,1120.448,976.428
2877.0,112.0,1106.846,983.957
2877.0,113.0,1093.617,991.617
2877.0,114.0,1080.734,999.283
2877.0,115.0,1068.435,1007.304
2877.0,116.0,1056.5,1015.991
2877.0,117.0,1044.977,1025.333
2877.0,118.0,1033.946,1035.565
2877.0,119.0,1023.383,1047.383
2877.0,120.0,1013.448,1061.428
2877.0,121.0,1004.609,1078.864
2877.0,122.0,995.539,1102.186
2877.0,123.0,977.916,1132.184
2877.0,124.0,946.371,1157.137
2877.0,125.0,897.998,1189.514
2877.0,127.0,817.245,1203.129
2877.0,128.0,796.8560000000001,1212.683
2877.0,129.0,778.59,1225.043
2877.0,130.0,760.096,1239.37
2877.0,131.0,739.472,1254.669
2877.0,132.0,716.3739999999998,1269.731
2877.0,133.0,690.1360000000002,1284.391
2877.0,134.0,659.8560000000001,1298.683
2877.0,135.0,626.854,1312.921
2877.0,136.0,592.447,1329.885
2877.0,137.0,550.456,1344.437
2877.0,138.0,513.5,1358.5
2877.0,139.0,450.37,1378.195
2877.0,141.0,406.838,1370.572
2878.0,300.0,2041.437,1001.276
2878.0,301.0,2029.526,999.423
2878.0,302.0,2017.999,998.912
2878.0,303.0,2006.527,999.339
2878.0,304.0,1994.555,1000.445
2878.0,305.0,1981.474,1001.577
2878.0,306.0,1966.958,1001.875
2878.0,307.0,1952.047,1001.291
2878.0,308.0,1936.999,1001.233
2878.0,309.0,1920.677,1002.677
2878.0,310.0,1901.571,1004.632
2878.0,311.0,1878.076,1003.429
2878.0,312.0,1846.427,990.456
2878.0,313.0,1813.812,954.408
2878.0,314.0,1801.391,927.864
2878.0,315.0,1791.874,913.74
2878.0,316.0,1781.809,904.923
2878.0,317.0,1770.5,898.9910000000001
2878.0,318.0,1758.2220000000002,896.415
2878.0,319.0,1742.2520000000004,896.5
2878.0,320.0,1719.844,891.8439999999998
2878.0,321.0,1704.464,876.0419999999998
2878.0,322.0,1691.037,864.368
2878.0,323.0,1669.7120000000002,853.58
2878.0,325.0,1596.645,835.9989999999998
2878.0,326.0,1543.734,830.515
2878.0,327.0,1505.092,852.171
2878.0,328.0,1455.567,903.024
2878.0,330.0,1365.654,936.074
2878.0,331.0,1324.6229999999996,942.913
2878.0,332.0,1293.987,947.427
2878.0,333.0,1267.74,949.426
2878.0,334.0,1242.993,950.613
2878.0,335.0,1219.697,952.616
2878.0,336.0,1198.782,956.2
2878.0,337.0,1180.323,960.677
2878.0,338.0,1163.692,966.692
2878.0,339.0,1147.77,973.715
2878.0,340.0,1132.1760000000004,981.4
2878.0,341.0,1117.156,989.844
2878.0,342.0,1103.177,997.849
2878.0,343.0,1089.559,1005.944
2878.0,344.0,1076.136,1014.391
2878.0,345.0,1062.778,1023.64
2878.0,346.0,1050.091,1033.528
2878.0,347.0,1037.913,1044.394
2878.0,348.0,1025.659,1057.912
2878.0,349.0,1014.391,1075.136
2878.0,350.0,1003.057,1097.782
2878.0,351.0,987.368,1126.09
2878.0,352.0,960.951,1152.73
2878.0,353.0,924.2,1174.857
2878.0,355.0,831.087,1205.45
2878.0,356.0,809.801,1213.969
2878.0,357.0,791.77,1224.715
2878.0,358.0,774.5210000000002,1236.937
2878.0,359.0,756.757,1249.821
2878.0,360.0,737.811,1262.76
2878.0,361.0,716.466,1275.785
2878.0,362.0,692.43,1288.929
2878.0,363.0,666.171,1301.066
2878.0,364.0,637.68,1313.402
2878.0,365.0,607.525,1327.085
2878.0,366.0,572.0790000000002,1342.442
2878.0,367.0,536.15,1352.938
2879.0,307.0,1888.782,1525.444
2879.0,308.0,1881.954,1514.264
2879.0,309.0,1875.02,1501.27
2879.0,310.0,1868.896,1485.415
2879.0,311.0,1860.989,1467.099
2879.0,312.0,1849.856,1445.285
2879.0,313.0,1830.617,1423.129
2879.0,314.0,1803.91,1409.059
2879.0,315.0,1781.457,1400.967
2879.0,316.0,1764.919,1395.0020000000004
2879.0,317.0,1752.874,1385.918
2879.0,318.0,1741.0510000000004,1373.421
2879.0,319.0,1726.909,1357.477
2879.0,320.0,1708.094,1342.006
2879.0,321.0,1679.669,1335.967
2879.0,322.0,1647.804,1342.856
2879.0,323.0,1624.064,1364.784
2879.0,324.0,1612.066,1383.83
2879.0,325.0,1603.9820000000002,1397.7179999999996
2879.0,326.0,1597.065,1408.026
2879.0,327.0,1591.727,1416.814
2879.0,328.0,1586.013,1423.642
2879.0,329.0,1580.956,1429.069
2879.0,330.0,1576.769,1434.062
2879.0,331.0,1571.781,1438.745
2879.0,332.0,1567.664,1442.781
2879.0,333.0,1563.7379999999996,1446.029
2879.0,334.0,1559.777,1449.07
2879.0,335.0,1556.047,1452.602
2879.0,336.0,1552.818,1454.99
2879.0,337.0,1549.7220000000002,1457.9489999999996
2879.0,338.0,1546.765,1460.761
2879.0,339.0,1543.671,1462.941
2879.0,340.0,1541.714,1466.003
2879.0,341.0,1538.729,1467.986
2879.0,342.0,1536.696,1470.993
2879.0,343.0,1534.628,1473.816
2879.0,344.0,1531.911,1475.8670000000004
2879.0,345.0,1530.721,1478.896
2879.0,346.0,1528.776,1481.695
2879.0,347.0,1526.7020000000002,1483.969
2879.0,348.0,1524.9979999999996,1487.547
2879.0,349.0,1523.77,1489.9160000000004
2879.0,350.0,1522.852,1492.898
2879.0,351.0,1520.993,1495.912
2879.0,352.0,1519.9879999999996,1499.52
2879.0,353.0,1518.86,1502.8729999999996
2879.0,354.0,1518.7879999999998,1506.62
2879.0,355.0,1517.84,1509.924
2879.0,356.0,1517.733,1513.856
2879.0,357.0,1516.944,1517.955
2879.0,358.0,1517.796,1522.608
2879.0,359.0,1517.835,1527.001
2880.0,388.0,1473.9229999999998,557.078
2880.0,390.0,1377.566,579.545
2880.0,391.0,1347.727,592.773
2880.0,392.0,1317.721,622.995
2880.0,393.0,1275.519,645.189
2880.0,394.0,1235.435,649.696
2880.0,395.0,1207.617,644.383
2880.0,396.0,1188.304,634.435
2880.0,397.0,1174.5,622.5
2880.0,398.0,1164.181,610.679
2880.0,399.0,1156.5,600.256
2880.0,400.0,1152.304,591.435
2880.0,401.0,1151.0,582.558
2880.0,402.0,1152.606,572.862
2880.0,403.0,1155.161,560.47
2880.0,404.0,1156.33,545.557
2880.0,405.0,1153.36,528.778
2880.0,406.0,1145.606,511.862
2880.0,407.0,1133.696,496.565
2880.0,408.0,1118.778,484.415
2880.0,409.0,1100.6989999999996,477.075
2880.0,410.0,1082.614,475.212
2880.0,411.0,1065.905,478.472
2880.0,412.0,1052.744,486.5
2880.0,413.0,1044.5,495.5
2880.0,414.0,1038.5,502.744
2880.0,415.0,1033.156,507.997
2880.0,416.0,1026.825,511.5
2880.0,417.0,1019.256,514.5
2880.0,418.0,1010.371,517.101
2880.0,419.0,1000.256,519.5
2880.0,420.0,988.304,522.435
2880.0,421.0,975.744,525.5
2880.0,422.0,961.857,528.534
2880.0,423.0,946.645,531.7280000000002
2880.0,424.0,930.396,534.627
2880.0,425.0,912.997,536.156
2880.0,426.0,896.212,535.614
2880.0,427.0,880.5,533.256
2880.0,428.0,865.7289999999998,527.669
2880.0,429.0,851.696,519.435
2880.0,430.0,837.696,508.565
2880.0,431.0,823.25,497.85
2880.0,432.0,806.905,488.472
2880.0,433.0,787.53,482.919
2880.0,434.0,763.565,482.696
2880.0,435.0,733.222,493.415
2880.0,436.0,691.3389999999998,534.111
2880.0,437.0,647.448,549.281
2880.0,438.0,601.138,524.057
2880.0,439.0,556.266,511.318
2881.0,389.0,2036.556,518.327
2881.0,390.0,2011.135,501.995
2881.0,391.0,1990.866,478.384
2881.0,392.0,1964.938,443.844
2881.0,393.0,1924.342,415.129
2881.0,394.0,1884.471,412.698
2881.0,395.0,1844.472,432.672
2881.0,396.0,1806.238,456.133
2881.0,397.0,1765.0179999999998,457.263
2881.0,398.0,1700.75,455.309
2881.0,399.0,1666.056,467.441
2881.0,400.0,1648.466,481.143
2881.0,401.0,1637.263,499.869
2881.0,402.0,1626.391,521.136
2881.0,403.0,1613.28,540.52
2881.0,404.0,1595.314,557.101
2881.0,405.0,1567.9129999999998,570.55
2881.0,406.0,1516.286,566.294
2881.0,408.0,1464.351,565.114
2882.0,398.0,1700.75,455.309
2882.0,399.0,1666.056,467.441
2882.0,400.0,1648.466,481.143
2882.0,401.0,1637.263,499.869
2882.0,402.0,1626.391,521.136
2882.0,403.0,1613.28,540.52
2882.0,404.0,1595.314,557.101
2882.0,405.0,1567.9129999999998,570.55
2882.0,406.0,1516.286,566.294
2882.0,408.0,1464.351,565.114
2882.0,409.0,1415.8,588.2280000000002
2882.0,410.0,1383.835,596.464
2882.0,411.0,1349.831,612.202
2882.0,412.0,1316.27,642.049
2882.0,413.0,1281.295,658.568
2882.0,414.0,1245.083,668.5360000000002
2882.0,415.0,1218.809,673.923
2882.0,416.0,1199.871,675.245
2882.0,417.0,1184.999,673.7669999999998
2882.0,418.0,1171.691,669.015
2882.0,419.0,1159.733,662.577
2882.0,420.0,1148.888,655.112
2882.0,421.0,1138.423,646.474
2882.0,422.0,1127.888,637.112
2882.0,423.0,1114.888,626.112
2882.0,424.0,1088.934,607.884
2882.0,425.0,1051.351,576.987
2882.0,426.0,1029.339,567.4730000000002
2882.0,427.0,1012.504,565.869
2882.0,428.0,997.708,566.3430000000002
2882.0,429.0,983.931,567.265
2882.0,430.0,969.809,567.923
2882.0,431.0,954.868,568.4
2882.0,432.0,939.26,569.5740000000002
2882.0,433.0,923.473,571.339
2882.0,434.0,908.19,574.288
2882.0,435.0,895.1439999999999,577.317
2882.0,436.0,884.128,580.245
2882.0,437.0,875.2,582.2180000000002
2882.0,438.0,867.466,584.143
2882.0,439.0,860.7589999999999,585.569
2882.0,440.0,854.952,586.922
2882.0,441.0,850.112,588.112
2882.0,442.0,845.946,589.446
2882.0,443.0,842.078,590.952
2882.0,444.0,838.574,592.74
2882.0,445.0,835.341,594.9119999999998
2882.0,446.0,832.2639999999999,597.094
2882.0,447.0,829.5,599.58
2882.0,448.0,826.5,601.991
2882.0,449.0,823.993,604.613
2882.0,450.0,821.275,607.24
2882.0,451.0,818.952,609.922
2882.0,452.0,816.789,612.789
2882.0,453.0,814.8439999999998,615.844
2882.0,454.0,813.2239999999998,618.974
2882.0,455.0,811.659,622.9119999999998
2882.0,456.0,810.477,627.2669999999998
2882.0,457.0,809.8439999999998,632.156
2882.0,458.0,808.966,638.155
2882.0,459.0,807.925,645.0509999999998
2882.0,460.0,805.5,653.5
2882.0,461.0,801.888,663.888
2882.0,462.0,795.383,675.383
2882.0,463.0,785.672,687.3989999999999
2882.0,464.0,771.078,699.048
2882.0,465.0,753.829,707.845
2882.0,466.0,733.6489999999999,713.1439999999999
2882.0,467.0,712.835,713.3380000000002
2882.0,468.0,692.0260000000002,707.201
2882.0,469.0,675.71,689.5219999999998
2882.0,470.0,673.405,665.0980000000002
2882.0,471.0,679.2689999999999,644.731
2882.0,472.0,686.077,630.191
2882.0,473.0,689.922,619.952
2882.0,474.0,690.222,611.64
2882.0,475.0,686.913,603.115
2882.0,476.0,681.6260000000002,593.185
2882.0,477.0,676.888,583.112
2882.0,478.0,668.7589999999999,576.3530000000002
2882.0,479.0,651.707,568.507
2882.0,480.0,621.576,551.095
2882.0,481.0,582.15,529.062
2882.0,482.0,533.809,521.7040000000002
2883.0,557.0,1693.376,227.581
2883.0,558.0,1653.5,228.74400000000003
2883.0,559.0,1633.304,219.435
2883.0,560.0,1618.514,204.165
2883.0,561.0,1604.5,185.5
2883.0,562.0,1587.921,166.497
2883.0,563.0,1567.0510000000004,149.715
2883.0,564.0,1537.156,136.937
2883.0,565.0,1491.319,130.355
2883.0,566.0,1427.609,123.6
2883.0,567.0,1387.696,120.435
2883.0,568.0,1362.523,111.267
2883.0,569.0,1338.035,95.949
2883.0,570.0,1306.745,79.971
2883.0,571.0,1265.52,75.304
2883.0,572.0,1221.982,89.50299999999999
2883.0,573.0,1185.457,108.352
2883.0,574.0,1155.246,122.457
2883.0,575.0,1129.585,130.778
2883.0,576.0,1106.5,133.825
2883.0,577.0,1083.41,130.857
2883.0,578.0,1051.039,126.084
2883.0,580.0,976.617,176.61700000000005
2883.0,581.0,944.303,174.616
2883.0,582.0,908.869,158.6
2883.0,583.0,873.7310000000001,134.59
2883.0,584.0,841.617,118.383
2883.0,585.0,810.8639999999998,116.609
2883.0,586.0,782.477,129.17
2883.0,587.0,761.6189999999998,169.56400000000005
2883.0,588.0,712.0930000000002,240.79
2883.0,590.0,620.632,246.429
2883.0,591.0,593.3009999999998,237.925
2883.0,592.0,565.173,235.726
2883.0,593.0,530.203,243.114
2883.0,594.0,489.902,248.94
2883.0,595.0,456.383,242.617
2883.0,596.0,429.823,233.823
2883.0,597.0,406.739,226.977
2883.0,598.0,386.125,222.615
2883.0,599.0,365.256,221.5
2883.0,600.0,343.1330000000001,222.99
2883.0,601.0,319.055,225.609
2883.0,602.0,293.648,228.695
2883.0,603.0,268.253,231.173
2883.0,604.0,242.868,232.724
2883.0,605.0,218.5,234.74400000000003
2883.0,606.0,194.935,238.257
2883.0,607.0,170.236,242.427
2883.0,608.0,145.30700000000004,246.42
2883.0,609.0,121.286,250.628
2883.0,610.0,101.444,255.581
2883.0,611.0,87.2,265.713
2883.0,612.0,67.225,282.811
2883.0,613.0,41.98,298.747
