Trajectory,Frame,X (pixel),Y (pixel)
2884.0,389.0,2036.556,518.327
2884.0,390.0,2011.135,501.995
2884.0,391.0,1990.866,478.384
2884.0,392.0,1964.938,443.844
2884.0,393.0,1924.342,415.129
2884.0,394.0,1884.471,412.698
2884.0,395.0,1844.472,432.672
2884.0,396.0,1806.238,456.133
2884.0,397.0,1765.0179999999998,457.263
2884.0,398.0,1700.75,455.309
2884.0,399.0,1666.056,467.441
2884.0,400.0,1648.466,481.143
2884.0,401.0,1637.263,499.869
2884.0,402.0,1626.391,521.136
2884.0,403.0,1613.28,540.52
2884.0,404.0,1595.314,557.101
2884.0,405.0,1567.9129999999998,570.55
2884.0,406.0,1516.286,566.294
2884.0,408.0,1464.351,565.114
2884.0,409.0,1415.8,588.2280000000002
2884.0,410.0,1383.835,596.464
2884.0,411.0,1349.831,612.202
2884.0,412.0,1316.27,642.049
2884.0,413.0,1281.295,658.568
2884.0,414.0,1245.083,668.5360000000002
2884.0,415.0,1218.809,673.923
2884.0,416.0,1199.871,675.245
2884.0,417.0,1184.999,673.7669999999998
2884.0,418.0,1171.691,669.015
2884.0,419.0,1159.733,662.577
2884.0,420.0,1148.888,655.112
2884.0,421.0,1138.423,646.474
2884.0,422.0,1127.888,637.112
2884.0,423.0,1114.888,626.112
2884.0,424.0,1088.934,607.884
2884.0,425.0,1051.351,576.987
2884.0,426.0,1029.339,567.4730000000002
2884.0,427.0,1012.504,565.869
2884.0,428.0,997.708,566.3430000000002
2884.0,429.0,983.931,567.265
2884.0,430.0,969.809,567.923
2884.0,431.0,954.868,568.4
2884.0,432.0,939.26,569.5740000000002
2884.0,433.0,923.473,571.339
2884.0,434.0,908.19,574.288
2884.0,435.0,895.1439999999999,577.317
2884.0,436.0,884.128,580.245
2884.0,437.0,875.2,582.2180000000002
2884.0,438.0,867.466,584.143
2884.0,439.0,860.7589999999999,585.569
2884.0,440.0,854.952,586.922
2884.0,441.0,850.112,588.112
2884.0,442.0,845.946,589.446
2884.0,443.0,842.078,590.952
2884.0,444.0,838.574,592.74
2884.0,445.0,835.341,594.9119999999998
2884.0,446.0,832.2639999999999,597.094
2884.0,447.0,829.5,599.58
2884.0,448.0,826.5,601.991
2884.0,449.0,823.993,604.613
2884.0,450.0,821.275,607.24
2884.0,451.0,818.952,609.922
2884.0,452.0,816.789,612.789
2884.0,453.0,814.8439999999998,615.844
2884.0,454.0,813.2239999999998,618.974
2884.0,455.0,811.659,622.9119999999998
2884.0,456.0,810.477,627.2669999999998
2884.0,457.0,809.8439999999998,632.156
2884.0,458.0,808.966,638.155
2884.0,459.0,807.925,645.0509999999998
2884.0,460.0,805.5,653.5
2884.0,461.0,801.888,663.888
2884.0,462.0,795.383,675.383
2884.0,463.0,785.672,687.3989999999999
2884.0,464.0,771.078,699.048
2884.0,465.0,753.829,707.845
2884.0,466.0,733.6489999999999,713.1439999999999
2884.0,467.0,712.835,713.3380000000002
2884.0,468.0,692.0260000000002,707.201
2884.0,469.0,675.71,689.5219999999998
2884.0,470.0,673.405,665.0980000000002
2884.0,471.0,679.2689999999999,644.731
2884.0,472.0,686.077,630.191
2884.0,473.0,689.922,619.952
2884.0,474.0,690.222,611.64
2884.0,475.0,686.913,603.115
2884.0,476.0,681.6260000000002,593.185
2884.0,477.0,676.888,583.112
2884.0,478.0,668.7589999999999,576.3530000000002
2884.0,479.0,651.707,568.507
2884.0,480.0,621.576,551.095
2884.0,481.0,582.15,529.062
2884.0,482.0,533.809,521.7040000000002
